"Sr No","Blood Bank Name",State,District,City,Address,Pincode,Latitude,Longitude
40,"Padmavathi Day & Night Blood Bank","Andhra Pradesh",GUNTUR,"Guntur city","Opposite to Head Post Office, Behind Veterinary Hospital, Kothapeta ",522001,0,0
41,"M/s. Needs Blood Bank ","Andhra Pradesh",GUNTUR,"Guntur city","1st Floor, Honda Show Room Building, Opposite Doctor Plaza, Kothapeta
",522001,16.2988,80.4489
42,"M/s. Sri Lakshmi Maternity & Surgical Nursing Home Blood Bank ","Andhra Pradesh",GUNTUR,"Guntur city","4th Floor, Behind Sivalayam Temple, Kothapeta
",522001,0,0
43,"Saint Joseph General Hospital Blood Bank","Andhra Pradesh",GUNTUR,"Guntur city","Opposite to Andhra Christian College, Near Flyover, Main Road, Guntur
",522001,16.2975,80.4407
44,"NTR Memorial Trust Blood Bank","Andhra Pradesh",GUNTUR,"Guntur city","Door No. 13-2-87, 1st Line G. V. Thota",522001,0,0
45,"Katuri Medical College and Hospital Blood Bank ","Andhra Pradesh",GUNTUR,"Guntur Rural","Katuri Nagar, Chinakondrupadu, Guntur
",522019,16.2279,80.3095
46,"NRI Medical College and General Hospital Blood Bank","Andhra Pradesh",GUNTUR,"Guntur Rural","Mangalagiri Mandalam, Chinakakani, Guntur
",522503,16.4137,80.5557
47,"Manipal Hospital Bloodbank","Andhra Pradesh",GUNTUR,"Guntur Rural","Soumyanagar, Tadepalli, Guntur",522501,16.4844,80.6172
48,"Indian Red Cross Society Blood Bank. Narassraopet","Andhra Pradesh",GUNTUR,Narasaraopeta,"Area Hospital, Narasaraopeta ",522601,16.2359,80.0484
49,"NRT Blood Bank","Andhra Pradesh",GUNTUR,Narasaraopeta,"GBR Super Speciality Hospital, 10-1-10/1, Palnadu Road, Narasaraopeta
",522601,16.1933,80.02
50,"Anjireddy Multi Specality Blood Bank ","Andhra Pradesh",GUNTUR,Piduguralla,"Gaganamma Temple, Piduguralla
",522413,16.4788,79.8936
51,"Red Cross Blood Bank","Andhra Pradesh",GUNTUR,Repalle," Government Hospital Premises
 Repalle-522265
 Guntur Dist,A.P
",522265,16.0174,80.8295
52,"Area Hospital (Repeated)","Andhra Pradesh",GUNTUR,Tenali,"Blood Bank Medical Officer,  Blood Bank, Area Hospital, Tenali, Guntur District",522201,16.2395,80.6493
53,"APVVP District Hospital Blood Bank","Andhra Pradesh",GUNTUR,Tenali,"APVVP District Hospital Premises, Chenchupeta, Tenali, Guntur",522202,0,0
54,"Rudhira Voluntary Blood Bank","Andhra Pradesh",GUNTUR,Tenali,"D.No. 7-5-56, KRR Complex, 1st Floor, Opposite ASN college, Prakasam Road, Ganganammapeta, Tenali",522201,16.2434,80.6464
55,"Best Rotary Blood Bank","Andhra Pradesh",GUNTUR,Tenali,"Mahila Mandali Building, Sarojini Naidu Street, Kothapeta, Tenali 
",522201,16.2512,80.6493
56,"Area Hospital Blood Bank","Andhra Pradesh",KRISHNA,Gudivada,Gudivada,521301,16.349,81.0497
57,"Dr. Pattabhi Red Cross Blood Bank ","Andhra Pradesh",KRISHNA,Machilipatnam,"DM & HO Campus, Machilipatnam",521001,16.1905,81.1362
58,"Government General Hospital (Repeated)","Andhra Pradesh",KRISHNA,Vijayawada,"Government General Hospital, Ramavarapadu, Vijayawada - 520007",520007,16.5133,80.619
59,"Government District Headquarters Hospital machilipatnam blood bank","Andhra Pradesh",KRISHNA,Vijayawada,Machilipatnam,521001,16.1769,81.1386
60,"Rotary Red Cross Blood Bank","Andhra Pradesh",KRISHNA,Vijayawada,"H.No: 26-5-5, G.S Raju Street, Gandhinagar, Vijayawada - 520003. Krishna District

",520003,16.5062,80.648
61,"Vijaya Sri Blood Bank","Andhra Pradesh",KRISHNA,Vijayawada,"VijayaSri Palace,D. No. 29-19-27/4, Ground Floor, First Floor and Second Floor, Dornakal Road, Suryaraopet, Vijayawada",520002,16.513,80.6356
62,"Lions Blood Bank","Andhra Pradesh",KRISHNA,Vijayawada,"D. No. 29-19-85, 1st & 2nd Floor,Old Janatha Hospital Building, Dornakal Road, Suryaraopet, Vijayawada
",520002,16.5062,80.648
63,"University General Hospital Blood Bank","Andhra Pradesh",KRISHNA,Vijayawada,"Ring Road, Gunadala, Vijayawada",520,16.5161,80.6701
64,"M/s. Chaitanya Blood Bank","Andhra Pradesh",KRISHNA,Vijayawada,"40-9/1-26, Vasavya Complex, Benz Circle, Vijayawada
",520010,16.4988,80.6555
65,"Nagarjuna Hospital Blood Bank","Andhra Pradesh",KRISHNA,Vijayawada,"Kanuru, Vijayawada",0,0,0
66,"Saint Ann&#39;s Hospital Blood Bank  ","Andhra Pradesh",KRISHNA,Vijayawada,"Punnammathota, Bandhar Road, Vijayawada - 2
",520,0,0
67,"Rotary Red Cross Blood Bank (Repeated)","Andhra Pradesh",KRISHNA,Vijayawada,"26-5-5, G.S. Raju Road, Vijayawada ",520,0,0
68,"Dr. Pinnamaneni Siddhartha Insitiute of Medical Sciences & Research Foundation (Dr.P.SIMS & RF) Blood Bank  ","Andhra Pradesh",KRISHNA,Vijayawada,"Chinnaoutapalli. ",521286,16.5517,80.832
69,"Bethesda Blood Bank","Andhra Pradesh",KRISHNA,Vijayawada,"29-10-2, Ground Floor, Narsimharao Street, Suryaraopet, Vijayawada ",0,16.513,80.6327
70,"Smt CH. Manju Vani Vara Prasad, Lions District 316D Blood Bank ","Andhra Pradesh",KRISHNA,Vijayawada,"H.No.29-4-54K, Conan Dhanvoda Anantham Complex, Prakasam Road, Suryaraopet, Vijayawada",520002,16.5103,80.6325
71,"Suraksha Voluntary Blood Bank","Andhra Pradesh",KRISHNA,Vijayawada,"29-10-8, Govinda Rajulu Naidu Street, Suryaraopet, Vijayawada 
",520002,16.5134,80.6329
72,"M/s Ayush Nri Lepl Health Care Private Limited  ","Andhra Pradesh",KRISHNA,Vijayawada,"First Floor, D. No. 40-13-3& 3A, Ring Road, Sriramachandra Nagar, Vijayawada
",520008,0,0
73,"M/s. Nimra Institute of Medical Sciences ","Andhra Pradesh",KRISHNA,Vijayawada,"Ground Floor, Adjacent to Central Lab, Teaching Hospital & Research Centre, Nimranagar, Jupudi, Ibrahimpatmnam, Vijayawada.Krishna ",521456,0,0
74,"RCH -II Blood Bank, Area Hospital, Adoni","Andhra Pradesh",KURNOOL,Adoni,"Dr. H. Siva Reddy, Civil Surgeon RMO (Rtd),Medical Officer  IRCS, RCH-II, Blood Bank, Area Hospital, Adoni-518301",518301,15.6322,77.2728
75,"M/s. Indian Red Cross Society Blood Bank RCH 2","Andhra Pradesh",KURNOOL,Adoni,"First Floor, Government Area Hospital, Adoni, Kurnool
",518301,15.6322,77.2728
76,"M/s. Government General Hospital Blood Bank","Andhra Pradesh",KURNOOL,Kurnool,kurnool,518002,15.8207,78.0381
77,"M/s. Indian Red Cross Society Blood Bank","Andhra Pradesh",KURNOOL,Kurnool,"Opposite Ravi Theatre, D.M & H.O Compound, Beside Control Room, Kurnool
",518002,15.8164,78.0403
78,"M/s. Viswa Bharathi General Hospital Blood Bank","Andhra Pradesh",KURNOOL,Kurnool,"2nd Floor, R. T. Nagar, Near Penchikalapadu (v) Kallur (m), Kurnool ",518002,0,0
79,"M/s. Viswa Bharathi Blood Bank","Andhra Pradesh",KURNOOL,Kurnool,"D. No. 50/760-A-127-13,1st Floor (O.P. Block), Gayathri Estate, Kurnool.",518002,0,0
80,"M/s. R.R. Hospital Blood Bank","Andhra Pradesh",KURNOOL,Kurnool,"D.No.40-304-10, 2nd Floor, Bhagya Nagar, Kurnool",518004,15.8287,78.0357
81,"District Hospital Blood Bank ","Andhra Pradesh",KURNOOL,Nandyal,"District Hospital, Noonepalli, Nandyal, Kurnool
",518502,15.4693,78.4829
82,"M/s. Shantiram Medical College & General Hospital Blood Bank","Andhra Pradesh",KURNOOL,Nandyal,"(Shafa Educational Society) NH-18, Nandyal",518501,0,0
83,"Government Hospital Blood Bank","Andhra Pradesh",KURNOOL,"Srisailam Project","Blood Bank Medical Officer,  Blood Bank, Government Hospital, Srisailam Project, Kurnool District",518101,16.0833,78.8667
84,"M/s. Area Hospital Blood Bank","Andhra Pradesh",PRAKASAM,Chirala,"Ground Floor, Room No.10, Area Hospital, Chirala, Prakasam ",523155,15.826,80.3613
85,"Indian Red Cross Society Blood bank","Andhra Pradesh",PRAKASAM,Markapur,"A.P.V.P. Area Hospital, Cumbum Road, Markapur",523316,15.7362,79.2691
86,"M/s. RIMS General Hospital Blood Bank","Andhra Pradesh",PRAKASAM,Ongole,"C/o. RIMS General Hospital , D.No. 8-5-2/A, Opposite Bapuji Kalamandir, Bhagya Nagar, 5th Lane, Ongole
",523001,15.4879,80.0471
87,"Indian Red Cross Society Blood Bank","Andhra Pradesh",PRAKASAM,Ongole,"IRCS Blood Bank, Railway Station Road, SanthaPeta, Ongole, Prakasam
",523001,15.5057,80.0499
88,"M/s. Life Line Volunytary Blood Bank","Andhra Pradesh",PRAKASAM,Ongole,"D. No.37-1-169/54, 2nd Floor, Sundharaiah Bhavan Raod, Ongole.
",523001,15.4814,80.0591
89,"M/s. Belief Blood Bank","Andhra Pradesh",PRAKASAM,Ongole,"3rd Floor, Sai Complex, Addanki Bus Stop, Ongole
",523001,15.4814,80.0591
90,"Government Hospital Blood Bank","Andhra Pradesh","SPSR NELLORE",Gudur,"Area Hospital Compound, Gudur
",524101,14.1465,79.8488
91,"M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society (IRCS) (REPEATED)","Andhra Pradesh","SPSR NELLORE",Kavali,"Survey No.1083/3, R.D Office Compound, Kavali.",524201,0,0
92,"M/s. APVVP Area Hospital Blood Bank","Andhra Pradesh","SPSR NELLORE",Kavali,"Area Hospital Compound Kavali",524201,0,0
93,"M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society Blood Bank","Andhra Pradesh","SPSR NELLORE",Kavali,"Survey No.1083/3, R.D. Office Compound, Kavali
",524201,14.9132,79.993
94,"Indian Red Cross Society Blood Bank","Andhra Pradesh","SPSR NELLORE",Nellore,"Indian Red Cross Society (IRCS) Road, Madras Bus stand, Nellore 

",524003,14.4268,79.959
95,"District Headquarters Hospital (Repeated)","Andhra Pradesh","SPSR NELLORE",Nellore,"District Headquarters Hospital, Dargamitta, Nellore",524003,14.4354,79.9668
96,"D.S.R. Headquarters Hospital Blood Bank","Andhra Pradesh","SPSR NELLORE",Nellore,"Government Hospital Compound, Nellore",524002,0,0
97,"Narayana Medical College & Hospital Blood Bank","Andhra Pradesh","SPSR NELLORE",Nellore,"Narayana Hospital compound, Nellore",524002,14.4426,79.9865
98,"Gems Hospital Blood Bank","Andhra Pradesh",SRIKAKULAM,Ragolu,"Gems Hospital Premises, Ragolu, Srikakulam",532001,18.2891,83.9056
99,"GMR Varalakshmi Care Hospital Blood Bank","Andhra Pradesh",SRIKAKULAM,Rajam,"GMR Varalakshmi Care Hospital Premises, GMR Nagar, Rajam
",532127,18.4613,83.6584
100,"Rajiv Gandhi Institute of Medical Sciences (RIMS) General Hospital Blood Bank","Andhra Pradesh",SRIKAKULAM,Srikakulam,"RIMS Government Hospital Premises, Balaga, Srikakulam
",532001,18.3129,83.8877
101,"Indian Red Cross Society (IRCS) Blood Bank","Andhra Pradesh",SRIKAKULAM,Srikakulam,"D.No. 8-5-2/A, Opposite to Bapuji Kalamandir, Srikakulam


",532001,18.2964,83.8945
102,"District Hospital","Andhra Pradesh",VISAKHAPATNAM,Anakapalli,"AH- ANAKAPALLI",531001,17.6896,82.9977
103,"M/s. NTR Area Hospital Blood Bank","Andhra Pradesh",VISAKHAPATNAM,Anakapalli,"APVVP Hospital Premises, Anakapalli, Visakhapatnam 
",531001,17.6864,83.2186
104,"M/s. Visakha Steel General Hospital Blood Bank","Andhra Pradesh",VISAKHAPATNAM,Gajuwaka,"Ukkunagaram, Steel Plant, Visakhapatnam",530032,17.6629,83.1441
105,"M/s. INHS Kalyani Blood Bank","Andhra Pradesh",VISAKHAPATNAM,Gajuwaka,"INHS Kalyani Hospital, Gandhigram (PO), Visakhapatnam",530005,0,0
106,"M/s. Anil Neerukonda Hospital  Blood Bank","Andhra Pradesh",VISAKHAPATNAM,Sangivalasa,"Sangivalasa, Bheemunipatnam (M), Visakhapatnam District
",531162,17.9726,83.4323
107,"M/s. King George Hospital (KGH) Blood Bank ","Andhra Pradesh",VISAKHAPATNAM,Visakhapatnam,"King George Hospital, Maharanipeta, Visakhapatnam",530002,17.7067,83.3037
108,"M/s. Government Victoria Hospital Blood Bank","Andhra Pradesh",VISAKHAPATNAM,Visakhapatnam,"Women & Children Hospital Blood Bank, Visakhapatnam",530001,17.6868,83.2185
109,"M/s. Indian Red Cross Society Blood Bank ","Andhra Pradesh",VISAKHAPATNAM,Visakhapatnam,"D.No:14-35-4, Behind Collecorate, Z..P. Junction, Maharanipeta, Visakhapatnam
",530002,17.6868,83.2185
110,"M/s. Rotary Blood Bank (Vishaka Port City Rotary Charitable Trust)","Andhra Pradesh",VISAKHAPATNAM,Visakhapatnam,"D.No: 13-26-2/54, 3rd Floor, Apuroopa Arcade, Near Jagadamba Junction, Maharanipeta, Vishakapatnam
",530002,17.6868,83.2185
111,"M/s. Apollo Hospital Heart & Kidney Centre Blood Bank","Andhra Pradesh",VISAKHAPATNAM,"Visakhapatnam ","D.No.10-50-80, 1st Floor, Apollo Hospital, Waltair Main Road, Visakhapatnam. 
",530002,17.7171,83.3092
112,"M/s. Seven Hills Hospital Blood Bank","Andhra Pradesh",VISAKHAPATNAM,Visakhapatnam,"D.No.11-4-4/A, 5th Floor, Rock Dale Layout, Waltair MainRoad, Visakhapatnam
",530002,17.7174,83.3093
113," A. S. Raja Voluntary Blood Bank","Andhra Pradesh",VISAKHAPATNAM,"Visakhapatnam ","D.No. 10-50-11/5, Ground Floor, 1st, 2nd and 3rd Floor, Beside CARE Hospital, Waltair Main Road, Ramnagar, Visakhapatnam
",530002,17.7203,83.313
114,"M/s. Lions Club of Visakhapatnam Blod Bank Trust  ","Andhra Pradesh",VISAKHAPATNAM,Visakhapatnam,"D. No.10-54-7, Lions Community Hall, Ram Nagar, Visakhapatnam
",530002,17.7191,83.3113
115,"M/s. N.T.R. Memorial Trust Blood Bank ","Andhra Pradesh",VISAKHAPATNAM,Visakhapatnam,"P. No. 15B-3-1, Block No. 56, Waltair Main Road, Ramnagar, Visakhapatnam
",530002,17.6916,83.2389
116,"M/s. Gitam Institute of Medical Sciences and Research Blood Bank ","Andhra Pradesh",VISAKHAPATNAM,"Visakhapatnam ","D.No.5-168, Ward No.6, Gitam University, Rushikonda, Visakhapatnam
",530045,17.7849,83.375
117,"M/s. Gayatri Vidya Parishad Institute of Health Care and Medical Technology","Andhra Pradesh",VISAKHAPATNAM,"Visakhapatnam ","D. No.6-25, Maridi Valley, Marikavalasa, Madhurawada, Vishakapatnam
",530048,17.6894,83.2116
118,"Indian Red Cross Society Blood Bank, RCH-II","Andhra Pradesh",VIZIANAGARAM,Parvathipuram,"Area Hospital Premises, First Floor, Belagam, Parvathipuram
",535501,18.7817,83.4268
119,"District Headquarters Hospital Blood Bank","Andhra Pradesh",VIZIANAGARAM,Vizianagaram,"District Headquarters Hospital, Cantonment, Vizianagaram ",535003,18.11,83.3884
120,"Indian Red Cross Society Blood Bank","Andhra Pradesh",VIZIANAGARAM,Vizianagaram,"D.No. 71/82, Near Ganesh Temple, Cantonment,  Vizianagaram",535003,18.1067,83.3956
121,"Srinivasa Nursing Home Blood Bank ","Andhra Pradesh",VIZIANAGARAM,Vizianagaram,"Ground Floor, Plot No. 06, Arundati Nagar, Opposite to Goods Shed, Cantonment, Vizianagaram",535002,0,0
122,"Maharaja Institute of Medical Sciences Blood Bank","Andhra Pradesh",VIZIANAGARAM,Vizianagaram,"D.No. 31-15, Nellimarla, Vizianagaram",535002,0,0
123,"ASN Raju Charitable Trust Blood Bank","Andhra Pradesh","WEST GODAVARI",Bhimavaram,"D.No. 24-1-1, R.K. Plaza (Sarovar complex), J. P. Raod, Bhimavaram
",534202,16.5439,81.5162
124,"Uddaraju Anandaraju Foundation Blood Bank","Andhra Pradesh","WEST GODAVARI",Bhimavaram,"D.No. 27-8-21/2, Sivaraopet, Bhimavaram",534202,16.5431,81.5157
125,"M/s. Government Headquarters Hospital Blood Bank","Andhra Pradesh","WEST GODAVARI",Eluru,"Government Headquarters Hospital, Ground Floor, R.R. Peta, Eluru, West Godavari",534006,17.0062,81.7821
126,"M/s. Indian Red Cross Society Component Blood Bank","Andhra Pradesh","WEST GODAVARI",Eluru," General Hospital Premises, Eluru, West Godavai
",534006,16.7119,81.0948
127,"M/s. Alluri Sitrarama Raju Academy of Medical Sciences Blood Bank","Andhra Pradesh","WEST GODAVARI",Eluru,"Ground Floor, Hospital Block, NH 5 Eluru, West Godavari 
",534005,16.7374,81.1465
128,"M/s. Good Samaritan Blood Bank","Andhra Pradesh","WEST GODAVARI",Eluru,"D.No.13-1, Good Samaritan Cancer and General Hospital, Vangayagudem, Eluru, West Godavari
",534001,18.1797,83.3955
129,"M/s. Indian Red Cross Society Blood Bank jangareddi gudem","Andhra Pradesh","WEST GODAVARI",Jangareddygudem,"Government Hospital Premises, Jangareddygudem",534447,17.1253,81.2739
130,"Indian Red Cross Society Blood Bank narasapuram","Andhra Pradesh","WEST GODAVARI",Narasapuram,"C/o. Community Healthcare Center, Narsapuram",534275,16.452,81.6802
131,"Palakol Voluntary Blood Bank","Andhra Pradesh","WEST GODAVARI",Palakol,"D.No. 47-1-12/2C, 1st floor, Beside Chamber of Commerce Building, Srinivasa Deluxe, Palakol
",534260,16.5175,81.7253
132,"Indian Red Cross Society Blood Bank Tanuku  (Repeated)","Andhra Pradesh","WEST GODAVARI",Tanuku,"IRCS Sub Branch Doorno 27-14-9, Dodipatlavari Street, 
Tanuku, West Godavari District ",534211,16.7572,81.68
133,"Dr. Mulla Pudi Harischandra Prasad Red Cross Blood Bank","Andhra Pradesh","WEST GODAVARI",Tanuku,"D.No.27-14-9, Doddipatla Vari Street, Tanuku.",534215,16.7572,81.68
134,"Sri Buddala Narasimhamurty Voluntary Blood Bank","Andhra Pradesh","WEST GODAVARI",Tanuku,"D.No.34-4/5, Ground Floor, Supriya Towers, Tanuku
",534211,16.414,80.6471
135,"Rajiv Gandhi Institute of Medical Sciences Blood Bank","Andhra Pradesh","Y.S.R. (Kadapa)",Kadapa,"Blood Bank Medical Officer, O.P. Block Ground Floor, Blood Bank, RIMS General Hospital,Puttlampalli, Kadapa ( RIMS, Kadapa).",516001,15.1334,78.5141
136,"Indian Red Cross Society, Blood Bank","Andhra Pradesh","Y.S.R. (Kadapa)",KADAPA,"D.No. 10-971, Opposite to Mattipedda Puli, Trunk Road, Kadapa
",516001,14.4674,78.8241
137,"Boga Parvathamma Blood Bank ","Andhra Pradesh","Y.S.R. (Kadapa)",Kadapa,"A unit of boga parvathamma memorial blood donation service organization,
d.no:7-137, second floor, jayanagar colony , Kadapa
  ",516002,14.4674,78.8241
138,"Rajiv Gandhi Institute of Medical Sciences Blood Bank ","Andhra Pradesh","Y.S.R. (Kadapa)",Kadapa,"RIIMS General Hospital ,Ground Floor, Putlam Palli Kadapa",516001,0,0
139,"Fathima Institute of Medical Sciences Blood Bank","Andhra Pradesh","Y.S.R. (Kadapa)",Kadapa,"Ramarajupalli, Pulivendula Road Kadapa",516001,0,0
140,"District Hospital Blood Bank ","Andhra Pradesh","Y.S.R. (Kadapa)",PRODDATUR,"APVVP, Gavini Circle, Yerraguntla Bypass Road, Proddatur",516360,14.7416,78.551
141,"A.P Vaidyavidhanaparishad Area Hospital Blood Bank","Andhra Pradesh","Y.S.R. (Kadapa)",Proddatur,"Proddatur, YSR",516360,0,0
142,"A.P. Vaidyavidhanaparishad Area Hospital - IRCS Blood Bank ","Andhra Pradesh","Y.S.R. (Kadapa)",Pulivendula,"Ground Floor, Muddanuru Road, Pulivendula",516390,14.4222,78.2263
143,"Changlang District Hospital Blood Bank","Arunachal Pradesh",CHANGLANG,Changlang,"District Hospital, Changlang District, Arunachal Pradesh",792120,27.1393,95.7388
144,"Pasighat General Hospital Blood Bank","Arunachal Pradesh","EAST SIANG",Pasighat,"General Hospital, Pasighat,  Jt. DHS (T&R), High Region, Near NH 52. ",791102,28.0715,95.3251
