"Sr No","Blood Bank Name",Apheresis,"Service Time","Blood Component Available"
187,"Central Hospital N. F. Railway Blood Bank",NO,"24 x 7",NO
188,"G.N.R.C. Hospital Blood Bank",NO,"24 x 7",NO
189,"Guwahati Medical College and Hospital (GMCH) State of The Art Model Blood Bank",NO,"24 x 7",YES
190,"Dr. B. Borooah Cancer Institute Blood Bank",NO,"24 x 7",YES
191,"Assam Gujarat Voluntary Blood Bank and Research Centre",NO,"24 x 7",NO
192,"Down Town Hospital Blood Bank ",NO,"24 x 7",YES
193,"Ganga Hospital Blood Bank",NO,"24 x 7",YES
194," Surakhya  Blood Bank ",NO,"24 x 7",NO
195,"Marwari Hospital and Research Centre Blood Bank",NO,"24 x 7",YES
196,"151 Base Hospital Blood Bank",NO,"24 x 7",NO
197,"Sanjevani Hospital Blood Bank",NO,"24 x 7",NO
198,"Narayana Hrudayalaya Limited Blood Bank",NO,"24 x 7",YES
199,"Diphu Civil Hospital Blood Bank",NO,"24 x 7",NO
200,"Karimganj Civil Hospital Blood Bank",NO,"24 x 7",NO
201,"R.N.B. Civil Hospital Blood Bank",NO,"24 x 7",NO
202,"North Lakhimpur Civil Hospital Blood Bank",NO,"24 x 7",NO
203,"Morigaon Civil Hospital Blood Bank",NO,"24 x 7",NO
204,"Haji Abdul Majid Memorial Hospital and Research Centre Blood Bank",NO,"24 x 7",NO
205,"Divisional Railway Headquarters Hospital Blood Bank",NO,"24 x 7",NO
206,"B.P. Civil Hospital Blood Bank",NO,"24 x 7",NO
207,"North East Blood Bank and Research Centre",NO,"24 x 7",NO
208,"S. M. K. Civil Hospital Blood Bank ",NO,"24 x 7",NO
209,"Nalbari Maternity Hospital Blood Bank",NO,"24 x 7",NO
210,"O.N.G.C. Limited Hospital Blood Bank",NO,"24 x 7",NO
211,"Pragati Hospital and Research Centre Blood Bank",NO,"24 x 7",NO
212,"Sivasagar Civil Hospital Blood Bank",NO,"24 x 7",NO
213,"Catholic Hospital Blood Bank",NO,"24 x 7",NO
214,"Kanaklata Civil Hospital Blood Bank",NO,"24 x 7",NO
215,"155 Base Hospital Blood Bank",NO,"24 x 7",NO
216,"Tezpur Medical College Hospital Blood Bank ",NO,"24 x 7",NO
217,"Indian Oil Corp Ltd (AOD) Hospital blood bank",NO,"24 x 7",NO
218,"Central Hospital  Coal India Limited",NO,"24 x 7",NO
219,"Tinsukia Civil Hospital Blood Bank",NO,"24 x 7",NO
220,"Tinsukia Blood Bank",NO,"24 x 7",NO
221,"Sadar Hospital Aurangabad Blood Bank",NO,24x7,NO
222,"Meera Nursing Home Blood Bank and Research Centre",,24X7,NO
223,"Rastra Kavi Dinkar Blood Bank",NO,24X7,NO
224,"Deshratna Rajendra Prasad Memorial Rotary Blood Bank",,N/A,NO
225,"Jawaharlal Nehru Medical College Hospital (JNMCH) Blood Bank",YES,"24 H",YES
226,"Sadar Hospital Ara (Bhojpur) Blood bank",NO,"24 Hr.",NO
227,"Sadar Hospital Ara Blood Bank",NO,24X7,NO
228,"Maa Vindhyawasini Blood Bank ",NO,24x7,NO
229,"Indian Red Cross Blood Bank (IRCS) Blood Bank",NO,"24 Hr.",NO
230,"Sadar Hospital Buxar Blood Bank",NO,"24 x 7 ",NO
231,"Darbhanga Medical College and Hospital (DMCH) Regional Blood Bank",,N/A,YES
232,"Indian Red Cross Society Blood Bank, Motihari",NO,"24 hrs",NO
233,"Duncan Hospital Blood Bank",,N/A,NO
234,"Anugrah Narayan Memorial Magadh Medical College Hospital (ANMMCH) Blood Bank",,"24 hrs",NO
235,"Bhagwan Mahabir Blood Bank",,N/A,NO
236," Sadar Hospital, Gopalganj Blood Bank",,N/A,NO
237,"Sadar Hospital Jamui Blood Bank",,24X7,NO
238,"Amar Saheed Jagdeo Prasad, Sadar Hospital Jehanabad Blood Bank ",NO,"24 hours",NO
239,"Sadar Hospital Kaimur (Bhabua) Blood Bank ",NO,"10 AM - 5 PM",NO
240,"Katihar Medical College Blood Bank",,N/A,YES
241,"Sadar Hospital, Katihar Blood bank",,"24 hrs",NO
242,"Sadar Hospital Khagaria Blood Bank ",,"24 hrs",NO
243,"Mata Gujri Memorial Medical College & Lions Kenra Hospital Blood Bank ",,24X7,YES
244,"Mata Gujri Memorial (MGM) Blood Bank",,N/A,YES
245,"Sadar Hospital Kishanganj Blood Bank ",,N/A,NO
246,"Sadar Hospital Lakhisarai Blood Bank ",,N/A,NO
247,"Sadar Hospital Madhepura Blood Bank ",,"24 hours ",NO
248,"Sadar Hospital Madhubani Blood Bank",,N/A,NO
249,"Sadar Hospital Muzaffarpur Blood Bank",NO,24X7,NO
250,"Sinha Blood Bank Muzaffarpur",,N/A,NO
251,"Sri Krishna Medical College Hospital (SKMCH) Blood Bank ",NO,"24 hour",NO
252,"Krishna Devi Devi Prasad Kejriwal Maternity Hospital Blood bank",,N/A,NO
253,"Sadar Hospital Muzaffarpur Blood Bank",,N/A,NO
254,"Nalanda Blood Bank (A Unit of Janata Karah Kalyan Samaj)",,N/A,NO
255,"Red Cross Blood Bank, Sadar Hospital, Bihar Sharif",,"24hrs ",NO
256,"Sadar Hospital Nawada Blood Bank ",,N/A,NO
257," Hitech Emergency Hospital Blood Bank ",,N/A,NO
258,"Bharat Blood Bank",,N/A,NO
259,"Kurji Holy Family Hospital Blood Bank",,N/A,YES
260,"National Blood Bank & Resarch Center",,N/A,NO
261,"Nalanda Medical College and Hospital Blood Bank",NO,"24 hrs.",YES
262,"Military Hospital Blood Bank",,N/A,NO
263,"Lions Mahavir Cancer Sansthan Blood Bank",,N/A,YES
264,"Tripolia Social Service Hospital and Blood Bank",,,NO
265,"Shashi Blood Bank",,N/A,NO
266,"Patliputra Blood Bank",,N/A,NO
267,"Bihar State Patna Medical College and Hospital (PMCH) Blood Bank",,N/A,YES
268,"Indian Red Cross Society (IRCS) Patna Blood Bank",,N/A,YES
269,"Jaiprabha Hospital Model Blood Bank (MBB)",,N/A,
270,"Palm View Hospital Blood Bank",,N/A,NO
271,"Lions Jeewan Blood Bank ",NO,N/A,NO
272,"Paras HMRI Hospital Blood Bank",,N/A,YES
273,"Indira Gandhi Institute of Medical Sciences (IGIMS) Blood Bank ",,N/A,YES
274,"Life Line Blood Bank",,N/A,NO
275," Vaatsalya Blood Bank",NO,N/A,NO
276,"Paras Hmri Hospital Blood Bank",,,
277,"Ruban Memorial Hospital Blood Bank",,N/A,NO
278,"Jeevan Rekha Blood Bank",,N/A,NO
279,"Indian Red Cross Society (IRCS) Blood Bank",,N/A,NO
280,"Sadar Hospital Purnia  Blood Bank ",NO,"24 Hrs",NO
281,"Bose Clinic Blood Bank",,N/A,NO
282,"Sadar Hospital Sasaram Blood Bank",NO,"24 Hours",NO
283,"Narayana Medical College and Hospital Blood Bank",,N/A,YES
284,"Micro Blood Bank Sasaram",,N/A,NO
285,"Sadar Hospital Saharsa Blood Bank ",,N/A,NO
286,"Indian Red Cross Society (IRCS) Samastipur Blood Bank ",,N/A,NO
287,"Sadar Hospital Samastipur Blood Bank ",,N/A,NO
288,"Sadar Hospital Chhapra Blood Bank ",NO,"24 HOURS",NO
289,"Sadar Hospital Sheikhpura Blood Bank",NO,"09:00am to 05:00pm",NO
290,"Sadar Hospital Sitamarhi Blood Bank",NO,24HRS,NO
291," Sadar Hospital Siwan Blood Bank",,N/A,NO
292,"P.N.H Mahatma Budh Educational and Research Centre Blood Bank ",,N/A,NO
293,"Sadar Hospital Hajipur Blood Bank ",,"24 hours ",NO
294,"Maharani Janki Kunwar (MJK) Hospital Blood Bank",,N/A,NO
295,"Department of  Transfusion Medicine, PGIMER Blood Bank",YES,"24 x 7",YES
296,"Rotary and Blood Bank Society Resource Centre",NO,"24 x 7",YES
297,"Government Medical College and Hospital Blood Bank ",YES,"24 x 7",YES
298,"Government Multispeciality Hospital Blood Bank",NO,"24 x 7",NO
299,"District Hospital Blood Bank Baloda Bazar",2,,NO
300,"Maharani Hospital Blood Bank ",NO,24x7,NO
301,"District Hospital Blood Bank Bemetara",2,,NO
302,"District Hospital Blood Bank Bijapur",2,,NO
303,"Chhattisgarh Insititute of Medical Sciences (CIMS) Blood Bank ",NO,24x7,YES
304,"Bilaspur District Hospital Blood Bank ",NO,24x7,NO
305,"Meghani Blood Bank Bilaspur",,24x7,
306,"Apollo Hospital Blood Bank ",YES,24x7,YES
307,"Shri Rawatpura Sarkar Lok Kalyan Trust, Bilasa Blood Bank ",NO,24x7,YES
308,"Ekta Blood Bank",NO,24x7,YES
309,"NMDC Apollo Hospital Blood Bank",NO,24x7,NO
310,"District Hospital Blood Bank Dantewada",NO,24x7,NO
311,"NMDC Project Hospital Blood Bank",NO,24x7,NO
312,"Dhamtari District Hospital Blood Bank ",NO,24x7,NO
313,"Dhamtari Christian Hospital",NO,24x7,NO
314,"B.S.R. Cancer Hospital",NO,24x7,YES
315,"Chandulal Chandraker Memorial (C.C.M.) Medical College Blood Bank",NO,24x7,YES
316,"M/s Shri Shankaracharya Blood Bank",,,
317,"Durg District Hospital  Blood Bank",YES,24x7,YES
318,"J.L.N Hospital & Research Center  Blood Bank",NO,24x7,YES
319,"Chandulal Chandrakar Memorial Hopsital Blood Bank",NO,24x7,YES
320,"Gayatri Blood Bank, Durg",,24x7,
321,"Janjgir District Hospital Blood Bank ",NO,24h,NO
322,"Jashpur District Hospital Blood Bank ",NO,"24 hrs.",NO
323,"Kawardha District Hospital Blood Bank  ",NO,24x7,NO
324,"Kanker District Hospital Blood Bank  ",NO,24x7,NO
325,"Indira Gandhi District Hospital Blood bank, Kobra",NO,24x7,NO
326,"Nehru Centenary Hospital Blood Bank",NO,24x7,NO
327,"Bilash Blood Bank,KORBA",NO,24x7,YES
328,"Lions Blood Bank",,,
329,"Distrcit Hospital Baikunthpur Blood bank, Korea",NO,24x7,NO
330,"Christian Hospital Blood Bank",NO,24x7,NO
331,"Ramakrishna Mission Ashram Blood Bank",NO,24x7,NO
332,"District Hospital Blood Bank Mahasamund",NO,24x7,NO
333,"District Hospital Blood Bank Raigarh ",NO,24x7,NO
334,"O.P. Jindal Hospital & Research Centre Blood Bank ",NO,24x7,YES
335,"Sewa Blood Bank",NO,24x7,NO
336,"Dr B R Ambedkar Memorial Hospital, Model Blood Bank",YES,24x7,YES
337,"Indian Red Cross Society Blood Bank",NO,24x7,YES
338,"Thawait Blood Bank",NO,24x7,YES
339,"City Blood Bank",YES,24x7,YES
340,"Sai Sahara Blood Bank",NO,24x7,YES
341,"Narayana Hrudayalaya MMI Blood Bank",NO,24x7,YES
342,"United Blood Bank",,24x7,
343,"SSD Blood Bank",NO,24x7,YES
344,"Chhattisgarh Blood Bank",NO,24x7,YES
345,"Bilasa Blood Bank",NO,24x7,YES
346,"Srishti Blood Bank",NO,24x7,YES
347,"Shree Narayana Hospital Blood Bank",NO,24x7,YES
348,"Rajdhani Blood Bank",NO,24x7,YES
349,"Evangelical Mission Hospital Blood Bank",NO,24x7,NO
350,"Raipur Institute of Medical Science",NO,24x7,YES
351,"Aashirwad Blood Bank",NO,24x7,YES
352,"AIIMS Blood Bank",,,
353,"Medical college& Hospital Blood Bank Rajnandgaon",NO,24x7,NO
354,"bilasa blood bank rajnandgaon",,,NO
355,"District Hospital Blood Bank Sukma",2,,NO
356,"District Hospital Blood Bank",,,
357,"Surguja District Hospital Blood Bank ",NO,24x7,NO
358,"Holy Cross Hospital Blood Bank",NO,24x7,NO
359,"Tej Blood Bank",NO,24x7,YES
360,"Indian Red Cross Society (IRCS) Blood Bank",NO,24X7,YES
361,"Daman Raktadan Kendra",NO,24X7,YES
362,"Diu District Blood Bank",NO,24X7,NO
363,"Indian Red Cross Society (IRCS) Blood Bank",YES,24x7,YES
364,"Dr. Ram Manohar Lohia Hospital Blood Bank",YES,24x7,YES
365,"Sucheta Kriplani Hospital Blood Bank",YES,24x7,YES
366,"Govind Ballabh (G.B.) Pant Hospital Blood Bank",YES,24x7,YES
367,"Regional Blood Tranfusion Center Blood bank, Central Zone",YES,24x7,YES
368,"Kasturba Hospital Blood Bank",YES,24x7,YES
369,"Sir Ganga Ram Hospital Blood Bank",YES,24x7,YES
370,"Lal Bahadur Shastri Hospital Blood Bank",NO,24x7,NO
371,"Max Super Specialty Hospital Blood Bank",YES,24x7,YES
372,"Dr. Hedgewar Arogaya Sansthan Blood bank",NO,24x7,YES
373,"Lions Blood Bank East Delhi",YES,24x7,YES
374,"Dharamshila Cancer Foundation and Research Centre Blood Bank",YES,24x7,YES
375,"Northern Railway Central Hospital Blood Bank",YES,24x7,NO
376,"Pushpawati Singhania Research Institute Blood bank",YES,24x7,YES
377,"Cardio Neuro Centre Blood Bank, AIIMS ",YES,24x7,YES
378,"Hindu Rao Hospital Blood Bank",YES,24x7,YES
379,"St. Stephen&#39;s Hospital Blood Bank",NO,24x7,YES
380,"Sant Pramanand Hospital Blood Bank",YES,24x7,YES
381,"Swami Dayanand Hospital Blood Bank",,24x7,YES
382,"Mission Jan Jagriti Blood Bank",YES,"9:30 - 5:30pm",YES
383,"Central Poly Clinic Blood Bank",YES,24x7,YES
384,"Sushruta Trauma Centre Blood Bank",,24x7,NO
385,"Sanjay Gandhi Memorial Hospital Blood Bank",NO,24x7,YES
386,"Sunder Lal Jain Charitable Hospital Blood Bank",YES,24x7,YES
387,"Max Super Specialty Hospital Blood Bank",YES,24x7,YES
388,"Lions Blood Bank",YES,24x7,YES
389,"Mission Jan Jagriti Blood Bank",YES,24x7,YES
390,"Saroj Super Speciality Hospital  Blood Bank",YES,24x7,YES
391,"Rajiv Gandhi Cancer Institute and Research Center Blood Bank",YES,24x7,YES
392,"Dr. Baba Sahab Ambedkar Hospital Blood Bank",,24x7,YES
393,"Delhi Heart and Lung Institute Blood Bank",NO,24x7,NO
394,"Park Hospital Blood Bank",YES,24x7,YES
395,"Fortis Hospital Blood Bank",YES,24x7,YES
396,"Pitampura Blood Bank",YES,24X7,YES
397,"Brahm Shakti Hospital and Research Centre Blood Bank",YES,24x7,YES
398,"Guru Tegh Bahadur Hospital Blood Bank",YES,24x7,YES
399,"Holy Family Hospital Blood Bank",YES,24X7,YES
400,"Batra Hospital and Medical Research Centre Blood Bank",YES,24x7,YES
401,"All India Institute of Medical Sciences (AIIMS) Blood Bank",YES,24x7,YES
402,"Safdarjung Hospital Blood Bank",YES,24x7,YES
403,"Shri Moolchand Khariti-Ram Hospital and Ayurvedic Research Institute ",,24x7,YES
404,"National Heart Institute Blood Bank",,24x7,YES
405,"Max Super Specialty Hospital Blood Bank",YES,24x7,YES
406,"Saket City Hospital Blood Bank",YES,24x7,YES
407,"Rockland Hospital Qutab Blood Bank",,24X7,NO
408,"Primus Ortho and Spine Hospital Blood Bank",YES,24x7,NO
409,"White Cross Blood Bank",YES,24x7,NO
410,"Rotary Blood Bank",YES,24x7,YES
411,"Jai Prakash Narayan Apex Trauma Centre Blood Bank",NO,24x7,YES
412,"Fortis Escort Heart Institute Blood Bank",YES,24x7,YES
413,"Hakeem Abdul Hameed Centenary Hospital Blood Bank",YES,24x7,YES
414,"Apollo Hospital Blood Bank",YES,24x7,YES
415,"Armed Forces Transfusion Centre Blood Bank",,24x7,YES
